"","Individual","ID_plot","Colony","date_collected","collector","abdomen_length","body_length","body_width","ant3_length_left","femur_length_left","tarsus_length_left","tibia_length_left","rostrum_length","head_width","ant3_length_right","femur_length_right","tarsus_length_right","tibia_length_right","head_length","thorax_width","siph_length","Rhinaria_left","Rhinaria_right","Rhinaria.mean","ant3_length","tarsus_length","femur_length","tibia_length","Rhinaria.asym","ant3_length_asym","tarsus_length_asym","femur_length_asym","tibia_length_asym"
"1","Nh_10-1-A","Nh_10","Nh_10-1","17.08.2020","Maud + Elena",2.08849339127039,1.59286258189031,0.62491535203531,NA,0.646189829952632,0.158892220453584,1.12583427899632,0.271472837250385,0.463498925529861,0.495861628949729,0.657515194622673,0.164496555949047,1.1268577798069,0.277169773151777,0.490260737538546,NA,8,11,9.5,0.495861628949729,0.161694388201316,0.651852512287652,1.12634602940161,-3,NA,-0.00560433549546283,-0.0113253646700415,-0.00102350081058034
"2","Nh_10-1-B","Nh_10","Nh_10-1","17.08.2020","Maud + Elena",2.01621308728715,1.53182413288984,0.574723483256491,0.471019449041941,0.640240478249643,0.175194084314261,1.11452897105238,0.264985256661001,0.439575990848076,0.467318881780251,0.642191653290557,0.168563816889904,1.12221697753692,0.308171452948084,0.472799177365917,NA,14,11,12.5,0.469169165411096,0.171878950602082,0.6412160657701,1.11837297429465,3,0.00370056726168977,0.00663026742435782,-0.00195117504091402,-0.00768800648453971
"3","Nh_10-1-C","Nh_10","Nh_10-1","17.08.2020","Maud + Elena",1.98203365862836,1.46656928600603,0.592727947654896,0.438761953087269,0.535239465262407,0.16854477312977,0.998193274108224,0.274733569921009,0.430455095250183,0.436790316133872,NA,NA,NA,0.287540316103635,0.455422406899397,NA,12,5,8.5,0.437776134610571,0.16854477312977,0.535239465262407,0.998193274108224,7,0.00197163695339786,NA,NA,NA
"4","Nh_10-1-D","Nh_10","Nh_10-1","17.08.2020","Maud + Elena",1.88281006252696,1.43009164561431,0.507923653803834,NA,0.594902957981139,0.168346231800718,1.09690032437133,0.266054875332706,0.410351941667285,0.411745137846788,0.592823744042306,0.173840761785624,1.06248338757344,0.353275932000258,0.451896677563188,NA,10,12,11,0.411745137846788,0.171093496793171,0.593863351011723,1.07969185597238,-2,NA,-0.00549452998490571,0.00207921393883292,0.0344169367978964
"5","Nh_10-1-E","Nh_10","Nh_10-1","17.08.2020","Maud + Elena",1.67023049340805,1.50486599288726,0.51454621155284,0.480575054570212,0.650111223794593,0.169958468429894,1.07918354965137,0.253847568619506,0.434607226791405,0.487152755366117,0.659622366422128,0.172473865513062,1.09846353344782,0.34681969212861,0.434355753734675,NA,8,9,8.5,0.483863904968164,0.171216166971478,0.65486679510836,1.0888235415496,-1,-0.00657770079590497,-0.00251539708316761,-0.00951114262753461,-0.0192799837964506
"6","Nh_10-1.2-A","Nh_10","Nh_10-1.2","17.08.2020","Maud + Elena",1.89854360319625,1.40191838685368,0.582649845775933,0.426926053571095,0.602177876945336,0.170567868754167,1.08512763393135,0.258734869334673,0.435512919229898,0.439546596523409,0.603077998501434,0.172615275561713,1.10338431951041,0.2946104133498,0.478235008200615,NA,11,14,12.5,0.433236325047252,0.17159157215794,0.602627937723385,1.09425597672088,-3,-0.0126205429523137,-0.00204740680754609,-0.000900121556098088,-0.0182566855790633
"7","Nh_10-1.2-C","Nh_10","Nh_10-1.2","17.08.2020","Maud + Elena",1.93963211364409,1.46467397362352,0.57080444435588,0.45906888177858,0.62248926268689,0.172335089175919,1.10334825792207,0.269641161504287,0.436340546797575,0.446369530074224,0.606665923947866,0.177770056762109,1.09420522712605,0.335718800716313,0.44893982991267,NA,11,15,13,0.452719205926402,0.175052572969014,0.614577593317378,1.09877674252406,-4,0.0126993517043556,-0.00543496758619025,0.0158233387390242,0.00914303079601764
"8","Nh_10-1.2-D","Nh_10","Nh_10-1.2","17.08.2020","Maud + Elena",1.86809540776476,1.39750134188347,0.555581751169746,0.426188816942097,0.551700162186325,0.152026337145872,0.993854335695675,0.264391623795731,0.425454345587031,0.434977917430101,0.56285656413348,0.158660656434088,0.973515194686693,0.260043962775536,0.445042342067472,NA,13,11,12,0.430583367186099,0.15534349678998,0.557278363159902,0.983684765191184,2,-0.00878910048800424,-0.00663431928821603,-0.0111564019471548,0.0203391410089828
"9","Nh_10-1.2-E","Nh_10","Nh_10-1.2","17.08.2020","Maud + Elena",1.76310882603449,1.30085766602496,0.490633091740488,0.407018638656203,0.533945097352906,0.164145056759349,0.935306321097104,0.254749362812209,0.412211105043951,0.423582860701698,0.522404781305187,0.163445502464231,0.923997569068881,0.310490072996453,0.410349068154447,NA,10,11,10.5,0.415300749678951,0.16379527961179,0.528174939329047,0.929651945082993,-1,-0.0165642220454952,0.000699554295117394,0.0115403160477189,0.011308752028223
"10","Nh_10-2-A","Nh_10","Nh_10-2","17.08.2020","Maud + Elena",2.10338622064572,1.61369416374262,0.556410824932664,0.485355753745007,0.671000607915519,0.184231564056773,1.20073561612657,0.280922284999842,0.457007446694688,0.488264384215613,0.668235008239108,0.185665518676188,1.22319226118784,0.342093800717604,0.506765194592132,NA,20,24,22,0.48681006898031,0.184948541366481,0.669617808077313,1.2119639386572,-4,-0.00290863047060547,-0.00143395461941531,0.0027655996764111,-0.0224566450612755
"11","Nh_10-2-B","Nh_10","Nh_10-2","17.08.2020","Maud + Elena",2.00743718500193,1.5379799855148,0.572728649918897,0.460205429590803,0.63910676674212,0.18549574558053,1.1445676663583,0.269692238519635,0.442634414557712,0.463792747257657,0.648963938543145,0.186461709924324,1.14284319310025,0.348280186456297,0.478176053581478,NA,0,17,8.5,0.46199908842423,0.185978727752427,0.644035352642633,1.14370542972928,-17,-0.00358731766685322,-0.000965964343793757,-0.00985717180102463,0.00172447325804792
"12","Nh_10-2-C","Nh_10","Nh_10-2","17.08.2020","Maud + Elena",1.99185372835361,1.53268250112744,0.561055002405199,0.418736628934104,0.622809967711266,0.168749797440995,1.08012540540521,0.268723974238465,0.439484532004546,0.433043152437813,0.626534440969719,0.164350891443345,1.0737337927621,0.316691653224613,0.46059785260547,NA,19,17,18,0.425889890685958,0.16655034444217,0.624672204340493,1.07692959908366,2,-0.0143065235037088,0.00439890599764967,-0.00372447325845304,0.00639161264311028
"13","Nh_10-2-D","Nh_10","Nh_10-2","17.08.2020","Maud + Elena",2.01078357711663,1.5160456472731,0.61479551556228,0.423886750491063,0.600331645178349,0.157464748816342,1.05718273927415,0.262295966841151,0.424450997093753,0.43449675859694,0.564591369644366,0.157408630501906,0.981731564218341,0.311043760192675,0.463787885021027,NA,0,12,6,0.429191754544002,0.157436689659124,0.582461507411358,1.01945715174624,-12,-0.0106100081058773,5.61183144359989e-05,0.0357402755339831,0.0754511750558045
"14","Nh_10-2-E","Nh_10","Nh_10-2","17.08.2020","Maud + Elena",2.02809500647701,1.5628730656994,0.585548393592759,0.490946312903352,0.646339141135806,0.182569692095334,1.14675709099408,0.270223499452269,0.456235693983331,0.487350486322397,0.641111831572348,0.18187662078239,1.17680287706175,0.366002228599271,0.490315437700631,NA,0,16,8,0.489148399612874,0.182223156438862,0.643725486354077,1.16177998402791,-16,0.00359582658095536,0.000693071312944327,0.00522730956345774,-0.0300457860676753
"15","Nh_10-3-A","Nh_10","Nh_10-3","17.08.2020","Maud + Elena",1.58820877335761,1.33036241885402,0.537823681394009,0.268722852566597,0.447341774806998,0.171993517052673,0.798879659805284,0.267319006473819,0.437261632309187,0.264668152403701,0.438059765080644,0.163929092415707,0.801166126580463,0.313021880128246,0.380911264258694,NA,15,4,9.5,0.266695502485149,0.16796130473419,0.442700769943821,0.800022893192873,11,0.004054700162896,0.00806442463696608,0.00928200972635368,-0.00228646677517952
"16","Nh_10-3-B","Nh_10","Nh_10-3","17.08.2020","Maud + Elena",1.88771789027163,1.45806265211138,0.540743096507868,0.438934157301243,NA,NA,NA,0.277573092136296,NA,0.450627836395994,NA,NA,NA,0.309206037339791,0.45381219620215,NA,0,14,7,0.444780996848618,NA,NA,NA,-14,-0.0116936790947515,NA,NA,NA
"17","Nh_10-3-C","Nh_10","Nh_10-3","17.08.2020","Maud + Elena",1.74262236664154,1.44698865507435,0.566988452302874,0.258529173472149,0.484482779676759,0.172327593227781,0.817049838090974,0.262385626494316,0.445212254529983,0.259801863910008,0.452766207547157,NA,0.789828403725654,0.343143841236455,0.434816248062159,NA,17,0,8.5,0.259165518691079,0.172327593227781,0.468624493611958,0.803439120908314,17,-0.00127269043785916,NA,0.0317165721296022,0.0272214343653203
"18","Nh_10-3-D","Nh_10","Nh_10-3","17.08.2020","Maud + Elena",1.62521089984303,1.32285453835552,0.522853727820675,0.252539303130579,0.456510129752129,0.16740984606309,0.797868719772664,0.266482482909339,0.442905592527653,0.252329011396339,0.466662479835223,0.164520056759425,0.823067666293166,0.309890194552247,0.427737236715506,NA,15,6,10.5,0.252434157263459,0.165964951411257,0.461586304793676,0.810468193032915,9,0.000210291734240309,0.00288978930366485,-0.0101523500830941,-0.0251989465205021
"19","Nh_10-3-E","Nh_10","Nh_10-3","17.08.2020","Maud + Elena",1.86270340394301,1.45380996787962,0.515567463637676,0.443002026021678,0.627508711634422,0.176924027588518,1.11806543782781,0.271656154757525,0.433975211198358,0.461583468488976,0.637752228654326,0.179925243148283,1.09812439244289,0.336708873650063,0.458994530076782,NA,7,15,11,0.452292747255327,0.1784246353684,0.632630470144374,1.10809491513535,-8,-0.0185814424672977,-0.00300121555976524,-0.0102435170199034,0.0199410453849151
"20","Nh_10-U2_1-A","Nh_10","Nh_10-U2_1","07.08.2019","Judith",2.52190434160254,1.85061744132229,0.774110907708324,0.516934967689817,0.748571110362352,0.179151337151368,1.22884035681297,0.276536858441355,0.490350442349978,0.516681928791872,0.725051458817879,0.181251013002685,1.18584461126131,0.396186993597283,0.566144043874827,NA,12,18,15,0.516808448240844,0.180201175077026,0.736811284590116,1.20734248403714,-6,0.000253038897944258,-0.00209967585131679,0.0235196515444732,0.0429957455516605
