ID_plot,DryGr_Hanksi_a1,DryGr_Hanksi_a2,DryGr_Hanksi_a3,DryGr_Hanksi_a4,DryGr_Hanksi_a5,Herb_Hanski_a1,Herb_Hanski_a2,Herb_Hanski_a3,Herb_Hanski_a4,Herb_Hanski_a5
Brb_Nh_04,0.03020473,0.006393015,0.002458052,0.001225272,0.000695319,1.487794304,0.365655469,0.117117815,0.042459037,0.016740614
Brb_Nl_02,0.052973172,0.012136088,0.004429962,0.002276016,0.001366238,2.281371905,0.977641257,0.582567715,0.383933528,0.267682015
Brb_Nm_03,0.01958273,0.001668722,0.000292483,6.6617E-05,1.62231E-05,2.0360608,0.468795375,0.139183647,0.047483027,0.018172472
Brb_Oh_01,0.024743568,0.003004343,0.000624584,0.000149967,3.80819E-05,3.521499642,1.03781569,0.471306457,0.249818021,0.139652311
Brb_Ol_03,0.047127714,0.029915974,0.0207383,0.014559184,0.010243576,11.00433871,5.573452593,3.138087898,1.78802167,1.023131247
Brb_Ol_04,0.033591804,0.02246876,0.017381372,0.013753841,0.010922269,9.565916804,3.952870066,1.851851342,0.886797466,0.430867229
Brb_Om_03,0.079028983,0.019664282,0.006621216,0.002967351,0.001673982,7.598450416,1.941806394,0.702267138,0.389247812,0.287017827
Nh_02,0.200296565,0.128175464,0.095025814,0.072546742,0.05613013,1.09087003,0.350844051,0.236276236,0.185911981,0.151979612
Nh_04,0.01038669,0.006098927,0.004260058,0.003189152,0.002500652,24.2097651,18.26759115,14.60033515,11.74848721,9.466705049
Nh_05,0.080492776,0.044869204,0.027243604,0.017190309,0.011202665,2.53176044,1.1637781,0.737931064,0.520611595,0.39231483
Nh_10,0.323811911,0.18994209,0.13041876,0.097012461,0.075785653,2.228016745,0.938503192,0.632844514,0.490483645,0.403129952
Nh_11,0.029696136,0.007060323,0.003303039,0.002008951,0.001336179,5.068972703,2.123135191,1.489544989,1.22359529,1.069963467
Nh_201,0.128934098,0.068188622,0.049240346,0.039059733,0.032395375,1.570819401,0.566824455,0.319984787,0.213264639,0.153389196
Nh_51,0.107670695,0.043919752,0.027412348,0.020675445,0.016810403,0.843233935,0.272699093,0.145187039,0.091003979,0.061218101
Nl_03,0.044438964,0.009688248,0.003894252,0.001985884,0.00116701,2.786249937,0.804374573,0.432052246,0.275640471,0.188001643
Nl_05,0.04733575,0.005852394,0.001376777,0.000455443,0.000174758,2.615858449,0.960447234,0.56458951,0.39694932,0.302958106
Nl_09,0.023653291,0.003574199,0.001242671,0.000734248,0.000509349,1.445099781,0.394349331,0.194800287,0.124366022,0.087575068
Nl_14,0.016179559,0.004221207,0.002013995,0.001366273,0.001092109,1.214385137,0.401884872,0.249870727,0.195406013,0.167798075
Nl_16,0.022209661,0.003985574,0.000984422,0.000285015,8.89105E-05,3.328521568,0.922399555,0.470009907,0.30342367,0.215117774
Nl_18,0.452431638,0.176841049,0.078455689,0.038074408,0.019834558,1.671707977,0.509264694,0.228735731,0.122364351,0.073254967
Nl_200,0.017380054,0.004118342,0.001454542,0.000613359,0.000285373,1.207134696,0.337037377,0.171369267,0.110380101,0.079461422
Nl_205,0.063391109,0.016915859,0.007857458,0.004740957,0.003251934,1.449673187,0.464819481,0.220378233,0.127865811,0.083673655
