Slice	Count	Total Area	Average Size	%Area
leaf scan 1.jpeg	31	17.306	0.558	2.775
leafscan 152.jpeg	12	15.103	1.259	2.422
leafscan 294.jpeg	3	35.249	11.750	5.652
leafscan 105.jpeg	64	95.198	1.487	15.265
leafscan 113.jpeg	12	16.740	1.395	2.684
leafscan 144.jpeg	19	15.836	0.833	2.539
leafscan 328.jpeg	12	67.380	5.615	10.804
leafscan 282.jpeg	8	32.617	4.077	5.230
leafscan 20.jpeg	35	47.687	1.362	7.647
leafscan 353.jpeg	11	59.620	5.420	9.560
leafscan 216.jpeg	3	55.567	18.522	8.910
leafscan 9.jpeg	18	30.606	1.700	4.908
leafscan 168.jpeg	14	13.544	0.967	2.172
leafscan 77.jpeg	30	47.585	1.586	7.630
leafscan 98.jpeg	33	47.621	1.443	7.636
leafscan 187.jpeg	15	16.669	1.111	2.673
leafscan 304.jpeg	8	48.358	6.045	7.754
leafscan 241.jpeg	5	71.729	14.346	11.502
leafscan 61.jpeg	104	85.697	0.824	13.741
leafscan 191.jpeg	19	28.679	1.509	4.599
leafscan 312.jpeg	12	38.025	3.169	6.097
leafscan 257.jpeg	11	59.284	5.389	9.506
leafscan 129.jpeg	11	12.515	1.138	2.007
leafscan 36.jpeg	22	27.690	1.259	4.440
leafscan 345.jpeg	43	76.261	1.774	12.228
leafscan 200.jpeg	12	17.418	1.451	2.793
leafscan 277.jpeg	2	31.461	15.730	5.045
leafscan 332.jpeg	22	37.815	1.719	6.064
leafscan 298.jpeg	7	39.607	5.658	6.351
leafscan 41.jpeg	29	35.295	1.217	5.660
leafscan 220.jpeg	5	37.389	7.478	5.995
leafscan 109.jpeg	95	86.872	0.914	13.930
leafscan 16.jpeg	26	40.523	1.559	6.498
leafscan 236.jpeg	7	33.852	4.836	5.428
leafscan 261.jpeg	2	43.755	21.878	7.016
leafscan 324.jpeg	14	58.765	4.197	9.423
leafscan 148.jpeg	17	26.379	1.552	4.230
leafscan 57.jpeg	32	49.602	1.550	7.954
leafscan 133.jpeg	17	13.088	0.770	2.099
leafscan 308.jpeg	3	41.854	13.951	6.711
leafscan 164.jpeg	17	16.906	0.994	2.711
leafscan 5.jpeg	20	41.306	2.065	6.623
leafscan 94.jpeg	27	60.839	2.253	9.755
leafscan 172.jpeg	11	14.895	1.354	2.388
leafscan 82.jpeg	41	55.952	1.365	8.972
leafscan 349.jpeg	19	43.836	2.307	7.029
leafscan 125.jpeg	13	12.140	0.934	1.947
leafscan 124.jpeg	10	16.371	1.637	2.625
leafscan 348.jpeg	18	35.437	1.969	5.682
leafscan 173.jpeg	12	13.324	1.110	2.137
leafscan 83.jpeg	70	70.010	1.000	11.226
leafscan 165.jpeg	10	11.605	1.161	1.861
leafscan 4.jpeg	36	48.658	1.352	7.802
leafscan 95.jpeg	26	47.603	1.831	7.633
leafscan 309.jpeg	3	45.619	15.206	7.315
leafscan 132.jpeg	11	12.040	1.095	1.931
leafscan 149.jpeg	23	19.629	0.853	3.148
leafscan 56.jpeg	38	53.947	1.420	8.650
leafscan 260.jpeg	4	38.775	9.694	6.218
leafscan 325.jpeg	13	73.861	5.682	11.843
leafscan 237.jpeg	2	45.595	22.797	7.311
leafscan 108.jpeg	49	77.862	1.589	12.485
leafscan 17.jpeg	54	47.889	0.887	7.679
leafscan 221.jpeg	3	39.513	13.171	6.336
leafscan 40.jpeg	27	72.259	2.676	11.587
leafscan 276.jpeg	3	37.790	12.597	6.060
leafscan 333.jpeg	15	69.020	4.601	11.067
leafscan 299.jpeg	3	35.721	11.907	5.728
leafscan 344.jpeg	9	45.598	5.066	7.312
leafscan 201.jpeg	17	21.885	1.287	3.509
leafscan 128.jpeg	10	12.250	1.225	1.964
leafscan 37.jpeg	60	43.040	0.717	6.901
leafscan 313.jpeg	4	38.039	9.510	6.099
leafscan 256.jpeg	2	31.839	15.919	5.105
leafscan 60.jpeg	29	66.657	2.299	10.688
leafscan 190.jpeg	16	14.461	0.904	2.319
leafscan 305.jpeg	4	58.775	14.694	9.424
leafscan 240.jpeg	5	39.038	7.808	6.260
leafscan 8.jpeg	38	62.262	1.638	9.984
leafscan 169.jpeg	15	15.254	1.017	2.446
leafscan 76.jpeg	28	41.656	1.488	6.679
leafscan 99.jpeg	14	24.876	1.777	3.989
leafscan 186.jpeg	13	17.514	1.347	2.808
leafscan 352.jpeg	14	63.384	4.527	10.163
leafscan 217.jpeg	3	36.290	12.097	5.819
leafscan 21.jpeg	34	63.234	1.860	10.139
leafscan 329.jpeg	12	78.228	6.519	12.544
leafscan 283.jpeg	3	42.887	14.296	6.877
leafscan 145.jpeg	24	21.107	0.879	3.385
leafscan 112.jpeg	12	16.181	1.348	2.595
leafscan 104.jpeg	32	56.947	1.780	9.131
leafscan 295.jpeg	14	44.612	3.187	7.153
leafscan 153.jpeg	15	12.713	0.848	2.039
leafscan 271.jpeg	6	38.160	6.360	6.119
leafscan 334.jpeg	27	51.624	1.912	8.278
leafscan 158.jpeg	13	29.204	2.246	4.683
leafscan 47.jpeg	28	59.409	2.122	9.526
leafscan372.jpg	35	37.837	1.081	5.899
leafscan414.jpg	12	48.208	4.017	7.516
leafscan400.jpg	24	57.842	2.410	9.018
leafscan366.jpg	30	71.720	2.391	11.181
leafscan 226.jpeg	5	44.895	8.979	7.199
leafscan 10.jpeg	25	49.037	1.961	7.863
leafscan399.jpg	22	65.980	2.999	10.286
leafscan 230.jpeg	4	28.265	7.066	4.532
leafscan 119.jpeg	9	15.595	1.733	2.501
leafscan 267.jpeg	4	36.385	9.096	5.834
leafscan 288.jpeg	12	52.760	4.397	8.460
leafscan 322.jpeg	24	58.157	2.423	9.325
leafscan 51.jpeg	25	43.138	1.726	6.917
leafscan 359.jpeg	13	66.509	5.116	10.665
leafscan 135.jpeg	14	8.479	0.606	1.360
leafscan 3.jpeg	25	40.258	1.610	6.455
leafscan 162.jpeg	13	10.429	0.802	1.672
leafscan 92.jpeg	38	54.440	1.433	8.729
leafscan398.jpg	15	55.133	3.676	8.595
leafscan 318.jpeg	6	50.544	8.424	8.105
leafscan 174.jpeg	16	15.388	0.962	2.467
leafscan401.jpg	29	36.637	1.263	5.712
leafscan367.jpg	21	54.258	2.584	8.459
leafscan373.jpg	11	57.396	5.218	8.948
leafscan 84.jpeg	41	65.139	1.589	10.445
leafscan 123.jpeg	18	18.211	1.012	2.920
leafscan 154.jpeg	12	17.857	1.488	2.863
leafscan 292.jpeg	21	69.074	3.289	11.076
