Date.sampled,Date.measured,Plot,Individual,replicate,organ,length,width,number,FM,image,DM,Comment
14.08.2020,15.08.2020,Oh01,1,a,leaf,NA,NA,1,194.61,49,50.43,
14.08.2020,15.08.2020,Oh01,1,b,leaf,NA,NA,1,265.46,50,62.94,
14.08.2020,15.08.2020,Oh01,1,c,leaf,NA,NA,1,205.56,51,50.82,
14.08.2020,15.08.2020,Oh01,1,d,stem,25.26,1.57,1,46.6,NA,15.61,
14.08.2020,15.08.2020,Oh01,1,e,stem,40.42,2.24,1,103.44,NA,32.26,
14.08.2020,15.08.2020,Oh01,2,a,leaf,NA,NA,1,246.32,52,72.27,
14.08.2020,15.08.2020,Oh01,2,b,leaf,NA,NA,1,185.35,53,58.84,
14.08.2020,15.08.2020,Oh01,2,c,leaf,NA,NA,0,NA,NA,NA,Frozen
14.08.2020,15.08.2020,Oh01,2,d,stem,8.99,1.19,1,9.56,NA,3.11,
14.08.2020,15.08.2020,Oh01,2,e,stem,3.78,0.79,1,2.17,NA,0.76,too small
14.08.2020,15.08.2020,Oh01,3,a,leaf,NA,NA,1,292.86,54,66.37,
14.08.2020,15.08.2020,Oh01,3,b,leaf,NA,NA,1,339.97,55,85.1,
14.08.2020,15.08.2020,Oh01,3,c,leaf,NA,NA,1,203.63,56,50.93,
14.08.2020,15.08.2020,Oh01,3,d,stem,26.57,1.59,1,44.06,NA,16.28,
14.08.2020,15.08.2020,Oh01,3,e,stem,19.54,1.54,1,26.89,NA,9.96,
14.08.2020,15.08.2020,Oh01,4,a,leaf,NA,NA,1,256.75,57,65.08,
14.08.2020,15.08.2020,Oh01,4,b,leaf,NA,NA,1,329.49,58,92.65,
14.08.2020,15.08.2020,Oh01,4,c,leaf,NA,NA,1,240.83,59,62.76,
14.08.2020,15.08.2020,Oh01,4,d,stem,8.75,1.03,1,8.64,NA,2.66,
14.08.2020,15.08.2020,Oh01,4,e,stem,20.3,1.63,1,33.73,NA,11.86,
14.08.2020,15.08.2020,Oh02,1,a,leaf,NA,NA,1,376.54,34,104.1,
14.08.2020,15.08.2020,Oh02,1,b,leaf,NA,NA,1,415.25,35,119.05,
14.08.2020,15.08.2020,Oh02,1,c,leaf,NA,NA,1,314.56,36,96.62,
14.08.2020,15.08.2020,Oh02,1,d,stem,29.99,3.52,1,156.35,NA,64.37,
14.08.2020,15.08.2020,Oh02,2,a,leaf,NA,NA,1,249.03,37,81.38,
14.08.2020,15.08.2020,Oh02,2,b,leaf,NA,NA,1,232.94,38,81.46,
14.08.2020,15.08.2020,Oh02,2,c,leaf,NA,NA,1,139.95,39,41.17,
14.08.2020,15.08.2020,Oh02,2,d,stem,9.18,1.75,1,19.7,NA,8.07,
14.08.2020,15.08.2020,Oh02,2,e,stem,11.84,1.77,1,21.18,NA,8.31,
14.08.2020,15.08.2020,Oh02,3,a,leaf,NA,NA,1,274.46,40,81.59,
14.08.2020,15.08.2020,Oh02,3,b,leaf,NA,NA,1,410.06,41,120.06,
14.08.2020,15.08.2020,Oh02,3,c,leaf,NA,NA,1,310.98,42,101.43,
14.08.2020,15.08.2020,Oh02,3,d,stem,19.75,2.5,1,71.35,NA,28.16,
14.08.2020,15.08.2020,Oh02,3,e,stem,17.61,1.71,1,34.92,NA,14.32,
14.08.2020,15.08.2020,Oh02,4,a,leaf,NA,NA,1,489.85,43,159.65,
14.08.2020,15.08.2020,Oh02,4,b,leaf,NA,NA,1,385.04,44,130.87,
14.08.2020,15.08.2020,Oh02,4,c,leaf,NA,NA,1,370.31,45,115.45,
14.08.2020,15.08.2020,Oh02,4,d,stem,10.15,2.04,1,24.73,NA,8.41,
14.08.2020,15.08.2020,Oh02,4,e,stem,23.05,3.08,1,113.41,NA,49.59,
14.08.2020,15.08.2020,Oh02,5,a,leaf,NA,NA,1,277.46,46,85.47,fluffy white stuff
14.08.2020,15.08.2020,Oh02,5,b,leaf,NA,NA,1,153.42,47,47.98,scanned before weighing
14.08.2020,15.08.2020,Oh02,5,c,leaf,NA,NA,1,186.85,48,54.49,
14.08.2020,15.08.2020,Oh02,5,d,stem,18.42,2.02,1,46.06,NA,17.85,
14.08.2020,15.08.2020,Oh02,5,e,stem,20.54,2.4,1,58.24,NA,25.23,
12.08.2020,13.08.2020,Ol_55,1,a,leaf,NA,NA,1,352.57,1,112.9,copied datasheet from bags - check dates and commetns on original
12.08.2020,13.08.2020,Ol_55,1,b,leaf,NA,NA,1,297.71,2,98.87,
