name,#rhinaria,
MS_R3_A_left antenna.jpg,22,
MS_R3_B_left antenna.jpg,7,
MS_R3_C_left antenna.jpg,24,
MS_R3_D_left antenna.jpg,16,
MS_R3_E_left antenna.jpg,15,
MS_R3B_A_left antenna.jpg,25,
MS_R3B_B_left antenna.jpg,15,
MS_R3B_C_left antenna.jpg,24,
MS_R3B_D_left antenna.jpg,16,
MS_R3B_E_left antenna.jpg,9,
NB10_1_A_left antenna.jpg,4,
NB10_1_B_left antenna.jpg,21,
NB10_1_C_left antenna.jpg,10,
NB6_7_A_left antenna.jpg,21,
NB6_7_B_left antenna.jpg,14,
NB6_7_C_left antenna.jpg,14,
NB6_7_D_left antenna.jpg,28,
NB6_7_E_left antenna.jpg,17,
NordBH_U1_2_A_left antenna.jpg,13,
NordBH_U1_2_B_left antenna.jpg,6,
NordBH_U1_2_C_left antenna.jpg,7,
NordBH_U1_2_D_left antenna.jpg,8,
NordBH_U1_2_E_left antenna.jpg,19,
NordBH_U1_1_A_left antenna.jpg,18,
NordBH_U1_1_B_left antenna.jpg,13,
NordBH_U1_1_C_left antenna.jpg,7,
NordBH_U1_1_D_left antenna.jpg,15,
NordBH_U1_1_E_left antenna.jpg,12,
Schöneweide_U2_A_left antenna.jpg,8,
Schöneweide_U2_B_left antenna.jpg,11,
Schöneweide_U2_C_left antenna.jpg,0,
Schöneweide_U2_D_left antenna.jpg,12,
Schöneweide_U2_E_left antenna.jpg,8,
Schöneweide_U2_2_A_left antenna.jpg,12,
Schöneweide_U2_2_B_left antenna.jpg,7,
Schöneweide_U2_2_C_left antenna.jpg,13,
Schöneweide_U2_2_D_left antenna.jpg,7,
Schöneweide_U2_2_E_left antenna.jpg,19,
Spandau_R2_A_left antenna.jpg,12,
Spandau_R2_B_left antenna.jpg,11,
Spandau_R2_C_left antenna.jpg,14,
Spandau_R2_D_left antenna.jpg,12,
Spandau_R2_E_left antenna.jpg,14,
Spandau R2B_A_left antenna.jpg,23,
Spandau R2B_B_left antenna.jpg,19,
Spandau R2B_C_left antenna.jpg,7,
Spandau R2B_D_left antenna.jpg,11,
Spandau R2B_E_left antenna.jpg,7,
SG_U3_2_B_left antenna.jpg,17,
SG_U3_1_A_left antenna.jpg,8,
SG_U3_1_B_left antenna.jpg,9,
SG_U3_1_C_left antenna.jpg,19,
SG_U3_1_D_left antenna.jpg,22,
SG_U3_1_E_left antenna.jpg,15,
Wannsee_R1_A_left antenna.jpg,12,
Wannsee_R1_B_left antenna.jpg,17,
Wannsee_R1_C_left antenna.jpg,10,
Wannsee_R1_D_left antenna.jpg,9,
Wannsee_R1_E_left antenna.jpg,9,
Wannsee_R1_2_A_left antenna.jpg,11,
Wannsee_R1_2_B_left antenna.jpg,10,
Wannsee_R1_2_C_left antenna.jpg,7,
Wannsee_R1_2_D_left antenna.jpg,14,
Wannsee_R1_2_E_left antenna.jpg,6,
WS9_3_A_left antenna.jpg,14,
WS9_3_B_left antenna.jpg,7,
WS9_3_C_left antenna.jpg,0,
Nh_10_1_B_left antenna.jpg,8,
Nh_10_1_C_left antenna.jpg,8,in two parts
Nh_10_1_E_left antenna.jpg,8,
Nh_10_1.2_A_left antenna.jpg,14,
Nh_10_1.2_C_left antenna.jpg,12,
Nh_10_1.2_D_left antenna.jpg,10,
Nh_10_1.2_E_left antenna.jpg,8,
Nh_10_2_A_left antenna.jpg,11,
Nh_10_2_B_left antenna.jpg,11,
Nh_10_2_C_left antenna.jpg,13,
Nh_10_2_D_left antenna.jpg,10,
Nh_10_2_E_left antenna.jpg,20,
Nh_10_3_A_left antenna.jpg,0,
Nh_10_3_B_left antenna.jpg,19,
Nh_10_3_C_left antenna.jpg,0,
Nh_10_3_D_left antenna.jpg,0,
Nh_10_3_E_left antenna.jpg,15,
Nl_55_1_A_left antenna.jpg,0,
Nl_55_1_B_left antenna.jpg,17,
Nl_55_1_C_left antenna.jpg,15,
Nl_55_1_D_left antenna.jpg,7,
Nl_55_1_E_left antenna.jpg,14,
Nl_55_2_A_left antenna.jpg,10,
Nl_55_2_B_left antenna.jpg,7,
Nl_55_2_C_left antenna.jpg,4,
Nl_55_2_D_left antenna.jpg,4,
Nl_55_2_E_left antenna.jpg,5,
Nl_55_3_A_left antenna.jpg,9,
Nl_55_3_B_left antenna.jpg,8,
Nl_55_3_C_left antenna.jpg,16,
Nl_55_3_D_left antenna.jpg,15,
Nl_55_3_E_left antenna.jpg,15,
Nl_55_4_A_left antenna.jpg,9,
Nl_55_4_B_left antenna.jpg,6,
Nl_55_4_C_left antenna.jpg,6,
Nl_55_4_E_left antenna.jpg,8,
Nl_55_4.2_A_left antenna.jpg,14,
Nl_55_4.2_B_left antenna.jpg,12,
Nl_55_4.2_C_left antenna.jpg,6,
Nl_55_4.2_D_left antenna.jpg,7,
Nl_55_4.2_E_left antenna.jpg,4,
Nl_55_5_A_left antenna.jpg,12,
Nl_55_5_B_left antenna.jpg,8,
Nl_55_5_C_left antenna.jpg,14,
Nl_55_5_D_left antenna.jpg,12,
Nl_55_5_E_left antenna.jpg,9,
Oh_01_1_A_left antenna.jpg,7,
Oh_01_1_B_left antenna.jpg,14,
Oh_01_1_C_left antenna.jpg,14,
Oh_01_1_D_left antenna.jpg,12,
Oh_01_1_E_left antenna.jpg,18,
Oh_01_1.2_A_left antenna.jpg,11,
Oh_01_1.2_C_left antenna.jpg,15,
Oh_01_1.2_E_left antenna.jpg,10,
Oh_01_2_A_left antenna.jpg,4,
Oh_01_2_B_left antenna.jpg,0,
Oh_01_2_C_left antenna.jpg,2,
Oh_01_2_D_left antenna.jpg,5,
Oh_01_2.2_B_left antenna.jpg,7,
Oh_01_2.2_E_left antenna.jpg,21,
