"","ID_plot","Long","Lat","urban_rural","Seal_500","colony_sampled"
"Ol_11","Ol_11",13.61681,52.43841,"rural",1.495169104,NA
"Om_06","Om_06",13.2075,52.58202,"rural",3.042456629,3
"Ol_55","Ol_55",13.18328,52.41555,"rural",7.534940189,3
"Oh_01","Oh_01",13.58918,52.47647,"rural",10.96370594,4
"Om_02","Om_02",13.58431,52.47911,"rural",17.25246392,1
"Nl_55","Nl_55",13.35797,52.45722,"urban",32.38531242,5
"Nh_10","Nh_10",13.51432,52.44011,"urban",38.45486093,3
"Oh_02","Oh_02",13.57169,52.50037,"urban",40.50267815,5
"Nl_14","Nl_14",13.38538,52.53438,"urban",62.77824415,NA
"Sk_01","Sk_01",13.365361,52.477722,"urban",70.690011716819,NA
